timestamps,value
1416722400.0,2.9474095407876897
1416726000.0,131.642810826315
1416729600.0,276.171730266003
1416733200.0,354.234731441904
1416736800.0,355.807995421859
1416740400.0,288.039721411112
1416744000.0,212.596239599641
1416747600.0,113.094476525496
1416751200.0,12.531374274326101
1416754800.0,-18.400233783466803
1416758400.0,-44.163742188447706
1416762000.0,-7.609901903052349
1416765600.0,60.09309561392771
1416769200.0,151.235258402873
1416772800.0,128.661185937285
1416776400.0,118.69172301228998
1416780000.0,136.444270400738
1416783600.0,-8.99640380902616
1416787200.0,-92.7556508500433
1416790800.0,-176.43180667576198
1416794400.0,-201.310644553246
1416798000.0,-281.29544439549
1416801600.0,-225.079325029305
1416805200.0,-48.123700789804296
1416808800.0,69.0183415141567
1416812400.0,274.461588015835
1416816000.0,312.177122738611
1416819600.0,420.394120760092
1416823200.0,430.63464104621005
1416826800.0,344.373996677353
1416830400.0,293.305534621698
1416834000.0,174.153042399842
1416837600.0,80.1456106931798
1416841200.0,18.1338665056591
1416844800.0,66.7940346458724
1416848400.0,95.1272276683284
1416852000.0,148.460359285369
1416855600.0,170.29419556228902
1416859200.0,246.007423969676
1416862800.0,232.50585215103902
1416866400.0,186.942646826741
1416870000.0,83.3771252614878
1416873600.0,-45.077951364678405
1416877200.0,-127.190578832041
1416880800.0,-177.481941124831
1416884400.0,-157.983612748334
1416888000.0,-131.44542330019502
1416891600.0,-16.864281384475998
1416895200.0,129.797355379524
1416898800.0,261.324808329682
1416902400.0,435.238085669756
1416906000.0,476.905431752388
1416909600.0,472.259391794769
1416913200.0,439.257151734692
1416916800.0,353.035760150187
1416920400.0,182.013711782711
1416924000.0,136.7121656973
1416927600.0,55.2857511099745
1416931200.0,93.553953082343
1416934800.0,95.19183508288609
1416938400.0,151.18397246451
1416942000.0,236.954504755036
1416945600.0,303.11530156179197
1416949200.0,275.014881574706
1416952800.0,199.75809631303397
1416956400.0,128.488701954755
1416960000.0,-31.370713297098103
1416963600.0,-123.08707738335801
1416967200.0,-127.023482507488
1416970800.0,-162.53726681035
1416974400.0,-139.22635277891501
1416978000.0,29.318246063544603
1416981600.0,171.80776899208303
1416985200.0,319.728061103111
1416988800.0,448.988701736996
1416992400.0,566.161577052576
1416996000.0,439.46453987108396
1416999600.0,416.915130490492
1417003200.0,298.61671491047997
1417006800.0,249.044098963514
1417010400.0,111.057026095254
1417014000.0,74.3301898293135
1417017600.0,55.44218335146871
1417021200.0,137.653412050254
1417024800.0,139.036834434709
1417028400.0,237.241013803415
1417032000.0,297.369707201761
1417035600.0,245.286195892601
1417039200.0,198.941727006297
1417042800.0,107.736385938153
1417046400.0,26.550756313534798
1417050000.0,-80.1128740300738
1417053600.0,-169.582342609118
1417057200.0,-133.732052927436
1417060800.0,-107.869530066942
1417064400.0,13.5628647941311
1417068000.0,148.651632318381
1417071600.0,-144.161594670128
1417075200.0,419.768851688875
1417078800.0,495.389309373579
1417082400.0,453.25102428939795
1417086000.0,445.3563134364401
1417089600.0,333.945106526563
1417093200.0,237.75384299866698
1417096800.0,141.861922143006
1417100400.0,49.920296481417395
1417104000.0,90.9804410964381
1417107600.0,96.04730822238831
1417111200.0,154.332561119148
1417114800.0,253.55901998319803
1417118400.0,237.85199180144699
1417122000.0,333.247063679904
1417125600.0,257.742609190601
1417129200.0,135.111784592103
1417132800.0,-14.9821066387114
1417136400.0,-65.1676394443861
1417140000.0,-176.234301841887
1417143600.0,-165.802305885158
1417147200.0,-62.3961220156503
1417150800.0,-6.7825409115733395
1417154400.0,173.44774242545103
1417158000.0,316.448423621903
1417161600.0,450.121187161639
1417165200.0,501.83367958842797
1417168800.0,479.453664166686
1417172400.0,441.67857493527396
1417176000.0,350.04475150437696
1417179600.0,283.336233969923
1417183200.0,171.248392485766
1417186800.0,105.99208626419201
1417190400.0,113.01918495722299
1417194000.0,168.193421271317
1417197600.0,209.591939384039
1417201200.0,217.670329639085
1417204800.0,276.333975657277
1417208400.0,292.964528442803
1417212000.0,268.548660823575
1417215600.0,165.440040037106
1417219200.0,82.3246287675197
1417222800.0,-1.06549991780537
1417226400.0,-125.916388949853
1417230000.0,-86.0862922385791
1417233600.0,-73.1742755302156
1417237200.0,124.45329276723899
1417240800.0,303.536884151871
1417244400.0,389.378384169543
1417248000.0,492.062915085022
1417251600.0,549.6877823837
1417255200.0,596.358490024445
1417258800.0,516.553478338055
1417262400.0,421.001367271415
1417266000.0,306.133176963135
1417269600.0,268.82634850520304
1417273200.0,245.288944064746
1417276800.0,185.71466458863603
1417280400.0,224.89418907399602
1417284000.0,304.744925830532
1417287600.0,371.755793961454
1417291200.0,356.220143501463
1417294800.0,385.413588360137
1417298400.0,379.560570666454
1417302000.0,212.767354446282
1417305600.0,142.294477939843
1417309200.0,101.406523567544
1417312800.0,-49.689791299145696
1417316400.0,13.3384674345494
1417320000.0,72.096441803033
1417323600.0,210.28121607971002
1417327200.0,286.322673126783
1417330800.0,470.229273219161
1417334400.0,633.260585717087
1417338000.0,660.287046930576
1417341600.0,658.477517466303
1417345200.0,683.586159755765
1417348800.0,524.51858871146
1417352400.0,414.578724261948
1417356000.0,380.283006764156
1417359600.0,352.312672164347
1417363200.0,353.68890428541704
1417366800.0,309.22135258095904
1417370400.0,352.692770505466
1417374000.0,432.97560223124395
1417377600.0,491.069570172244
1417381200.0,426.939253552619
1417384800.0,425.777493336512
1417388400.0,306.069303840868
1417392000.0,248.670665771398
1417395600.0,134.804924637852
1417399200.0,123.29741952649599
1417402800.0,95.3673600624572
1417406400.0,144.018377379079
1417410000.0,260.887405711922
1417413600.0,459.328112000087
1417417200.0,605.6529065085759
1417420800.0,705.024520602654
1417424400.0,795.765827670871
1417428000.0,727.845233322385
1417431600.0,723.256796980412
1417435200.0,638.58411200234
1417438800.0,481.15962138561895
1417442400.0,440.7854413413
1417446000.0,398.38309445905196
1417449600.0,384.251785002398
1417453200.0,456.759200016758
1417456800.0,461.88334556628797
1417460400.0,527.107110969224
1417464000.0,562.472228187307
1417467600.0,526.8889503377089
1417471200.0,523.208152930494
1417474800.0,420.906788783771
1417478400.0,358.465646006047
1417482000.0,219.405247117394
1417485600.0,146.68917402200898
1417489200.0,175.748292888097
1417492800.0,180.951435954008
1417496400.0,335.68804248985197
1417500000.0,508.605848697458
1417503600.0,644.756074479245
1417507200.0,805.096386638391
1417510800.0,841.430870313582
1417514400.0,803.013230835026
1417518000.0,757.082817058091
1417521600.0,630.740734376135
1417525200.0,551.357502912056
1417528800.0,431.113590374588
1417532400.0,369.09320075718597
1417536000.0,414.261094988423
1417539600.0,476.119864426396
1417543200.0,538.134841673562
1417546800.0,550.691819149302
1417550400.0,550.934330790259
1417554000.0,585.752998560378
1417557600.0,530.409654531823
1417561200.0,408.874790691278
1417564800.0,328.995837063794
1417568400.0,268.87109469448797
1417572000.0,185.99763466715802
1417575600.0,223.548375244589
1417579200.0,253.75271170042802
1417582800.0,394.821854722824
1417586400.0,560.2485056461151
1417590000.0,1141.8778836681802
1417593600.0,789.2317102211749
1417597200.0,868.6601890505881
1417600800.0,831.0452803524499
1417604400.0,781.436492563544
1417608000.0,698.415736916938
1417611600.0,534.013540913754
1417615200.0,460.468914832109
1417618800.0,402.545656270176
1417622400.0,386.373302452032
1417626000.0,485.03341869870104
1417629600.0,514.225661986233
1417633200.0,566.711045716736
